_id,index,id,Year,Type,Country,State,Activity,Sex,Age,Injury
6696ff4dc10ca7acadf71ae4,1454,1454,2011,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,63,Torn shoulder ligament as result of collision with shark
6696ff4dc10ca7acadf71ae5,1455,1455,2011,Unprovoked,INDONESIA,Bali,Surfing,M,18,Lacerations to right hand
6696ff4dc10ca7acadf71ae6,1456,1456,2011,Unprovoked,AUSTRALIA,Queensland,Swimming,M,10,Puncture marks to foot
6696ff4dc10ca7acadf71ae7,1457,1457,2011,Watercraft,USA,California,Kayaking,M,NaN,"No injury, kayak bitten"
6696ff4dc10ca7acadf71ae8,1458,1458,2011,Unprovoked,PAPUA NEW GUINEA,East New Britain,Scuba diving,M,NaN,"No injury, shark collided with diver"
6696ff4dc10ca7acadf71ae9,1459,1459,2011,Unprovoked,BRAZIL,Pernambuco,Surfing,M,35,Legs bitten
6696ff4dc10ca7acadf71aea,1460,1460,2011,Unprovoked,REUNION,Bois-Blanc ,Free diving / spearfishing,M,42,Left foot bitten
6696ff4dc10ca7acadf71aeb,1461,1461,2011,Unprovoked,USA,California,Surfing,M,27,"Lacerations to right wrist, foream & neck"
6696ff4dc10ca7acadf71aec,1462,1462,2011,Unprovoked,SCOTLAND,Moray,Surfing,M,26,"No injury, shark bumped leg & board. "
6696ff4dc10ca7acadf71aed,1463,1463,2011,Provoked,SOUTH AFRICA,KwaZulu-Natal,Diving,NaN,NaN,Arm bitten by captive shark PROVOKED INCIDENT
6696ff4dc10ca7acadf71aee,1464,1464,2011,Unprovoked,AUSTRALIA,Western Australia,Diving,M,32,FATAL
6696ff4dc10ca7acadf71aef,1465,1465,2011,Unprovoked,USA,Oregon,Surfing,M,41,"No injury, shark bit surfboard"
6696ff4dc10ca7acadf71af0,1466,1466,2011,Unprovoked,AUSTRALIA,Victoria,Diving,M,50,Small bruise to calf
6696ff4dc10ca7acadf71af1,1467,1467,2011,Unprovoked,USA,Florida,Surfing,M,NaN,Foot bitten
6696ff4dc10ca7acadf71af2,1468,1468,2011,Unprovoked,USA,Oregon,Surfing,M,NaN,No injury
6696ff4dc10ca7acadf71af3,1469,1469,2011,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,64,FATAL
6696ff4dc10ca7acadf71af4,1470,1470,2011,Watercraft,REUNION,NaN,Canoeing,M,51,No injury to occupant
6696ff4dc10ca7acadf71af5,1471,1471,2011,Unprovoked,USA,Florida,Wade fishing,M,NaN,Minor injury to thigh
6696ff4dc10ca7acadf71af6,1472,1472,2011,Unprovoked,USA,Alabama,NaN,M,29,Lacerations to right wrist and middle finger
6696ff4dc10ca7acadf71af7,1473,1473,2011,Invalid,USA,Puerto Rico,Surfing,M,27,Lacerations to lower right leg 
6696ff4dc10ca7acadf71af8,1474,1474,2011,Provoked,DOMINICAN REPUBLIC,Samaná Province,Fishing,M,48,Severe injuries to left arm PROVOKED INCIDENT
6696ff4dc10ca7acadf71af9,1475,1475,2011,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,43,"Right leg severed, left leg lacerated"
6696ff4dc10ca7acadf71afa,1476,1476,2011,Unprovoked,USA,Florida,Spearfishing,M,21,Laceration to left thigh
6696ff4dc10ca7acadf71afb,1477,1477,2011,Unprovoked,USA,South Carolina,Jumping in the waves,M,5,Laceration to left thigh
6696ff4dc10ca7acadf71afc,1478,1478,2011,Watercraft,USA,Hawaii,Canoeing,M,NaN,"No injury, canoe bitten by shark"
6696ff4dc10ca7acadf71afd,1479,1479,2011,Unprovoked,REUNION,Saint-Gilles,Body boarding,M,38,FATAL
6696ff4dc10ca7acadf71afe,1480,1480,2011,Unprovoked,KENYA,Coast Province,Swimming,M,17,FATAL
6696ff4dc10ca7acadf71aff,1481,1481,2011,Unprovoked,USA,Florida,Surfing,M,25,Lacerations to arm
6696ff4dc10ca7acadf71b00,1482,1482,2011,Unprovoked,USA,California,Surfing,M,37,"No injury, board bitten"
6696ff4dc10ca7acadf71b01,1483,1483,2011,Unprovoked,PAPUA NEW GUINEA,Central Province,Kite Surfing,M,30,Lacerations to right leg
6696ff4dc10ca7acadf71b02,1484,1484,2011,Unprovoked,USA,Hawaii,Surfing,NaN,NaN,"No injury, shark bit surfboard"
6696ff4dc10ca7acadf71b03,1485,1485,2011,Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,21,FATAL
6696ff4dc10ca7acadf71b04,1486,1486,2011,Unprovoked,USA,Florida,Surfing,M,19,Lacerations to ankle & foot
6696ff4dc10ca7acadf71b05,1487,1487,2011,Unprovoked,USA,Florida,Surfing,M,19,Lacerations to lower leg
6696ff4dc10ca7acadf71b06,1488,1488,2011,Invalid,AUSTRALIA,Queensland,Swimming,M,48,FATAL
